acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
-0.218, 0.048, 0.986, 0.030,-0.642, 0.040
-0.223, 0.026, 0.900, 0.030,-0.608, 0.042
-0.238, 0.010, 0.960, 0.006,-0.598, 0.031
-0.238, 0.010, 0.960,-0.030,-0.536, 0.021
-0.217, 0.008, 0.967,-0.062,-0.477,-0.000
-0.217, 0.008, 0.967,-0.099,-0.461,-0.031
-0.205,-0.003, 0.999,-0.157,-0.457,-0.061
-0.212,-0.015, 1.023,-0.196,-0.444,-0.091
-0.212,-0.015, 1.023,-0.180,-0.499,-0.102
-0.173,-0.028, 1.034,-0.172,-0.576,-0.063
-0.173,-0.028, 1.034,-0.188,-0.603, 0.010
-0.162,-0.007, 1.027,-0.202,-0.606, 0.077
-0.152,-0.010, 1.030,-0.208,-0.674, 0.120
-0.149,-0.019, 1.063,-0.188,-0.906, 0.137
-0.133,-0.016, 1.170,-0.098,-1.390, 0.138
-0.108, 0.010, 1.154,-0.181,-1.501, 0.208
-0.108, 0.010, 1.154,-0.264,-1.478, 0.217
-0.117, 0.036, 0.983,-0.310,-1.344, 0.163
-0.103,-0.018, 0.939,-0.336,-1.164, 0.127
-0.102,-0.053, 0.909,-0.330,-1.034, 0.164
-0.097,-0.003, 0.968,-0.289,-0.922, 0.195
-0.097,-0.003, 0.968,-0.245,-0.807, 0.195
-0.073,-0.004, 0.979,-0.206,-0.692, 0.197
-0.073,-0.004, 0.979,-0.167,-0.605, 0.187
-0.063,-0.015, 0.976,-0.137,-0.573, 0.168
-0.052, 0.002, 0.982,-0.111,-0.595, 0.160
-0.052, 0.002, 0.982,-0.083,-0.637, 0.148
-0.044, 0.017, 0.978,-0.069,-0.686, 0.138
-0.042, 0.023, 0.976,-0.080,-0.778, 0.139
-0.057, 0.023, 0.978,-0.104,-0.799, 0.146
-0.031, 0.005, 0.972,-0.034,-0.603, 0.082
 0.010,-0.010, 0.993, 0.024,-0.568, 0.052
 0.010,-0.010, 0.993, 0.080,-0.614, 0.050
 0.010,-0.022, 1.004, 0.114,-0.599, 0.031
 0.010,-0.022, 1.004, 0.109,-0.546, 0.013
 0.020,-0.014, 0.996, 0.120,-0.537, 0.002
 0.020,-0.014, 0.996, 0.138,-0.565,-0.009
 0.028,-0.019, 1.022, 0.157,-0.582,-0.011
 0.028,-0.019, 1.022, 0.180,-0.616, 0.003
 0.035,-0.005, 1.021, 0.195,-0.649, 0.017
 0.027, 0.006, 1.002, 0.176,-0.613, 0.030
 0.024, 0.014, 0.985, 0.141,-0.553, 0.039
 0.024, 0.014, 0.985, 0.103,-0.495, 0.051
 0.032, 0.014, 0.981, 0.079,-0.436, 0.046
 0.063,-0.002, 0.992, 0.077,-0.393, 0.049
 0.064,-0.009, 1.005, 0.088,-0.392, 0.050
 0.068,-0.005, 1.012, 0.097,-0.346, 0.048
 0.068,-0.005, 1.012, 0.107,-0.303, 0.045
 0.076,-0.008, 1.004, 0.119,-0.287, 0.037
 0.084,-0.013, 1.006, 0.134,-0.314, 0.034
 0.099,-0.007, 1.021, 0.151,-0.413, 0.008
 0.095,-0.013, 1.051, 0.161,-0.547,-0.032
 0.095,-0.013, 1.066, 0.138,-0.664,-0.084
 0.104,-0.007, 1.059, 0.110,-0.740,-0.133
 0.104,-0.007, 1.059, 0.102,-0.771,-0.150
 0.111, 0.003, 1.017, 0.114,-0.785,-0.149
 0.118, 0.009, 1.004, 0.099,-0.754,-0.139
 0.121, 0.019, 0.986, 0.064,-0.687,-0.109
 0.121, 0.019, 0.986, 0.050,-0.666,-0.069
 0.138, 0.012, 0.996, 0.075,-0.691,-0.075
 0.138, 0.012, 0.996, 0.163,-0.820,-0.119
 0.173, 0.021, 1.041, 0.237,-0.966,-0.109
 0.185, 0.027, 1.070, 0.264,-1.047,-0.118
 0.166, 0.007, 1.052, 0.249,-1.064,-0.154
 0.177, 0.002, 1.045, 0.230,-1.027,-0.175
 0.192,-0.002, 1.018, 0.215,-0.994,-0.158
 0.189, 0.004, 0.978, 0.203,-1.027,-0.161
 0.194, 0.040, 0.988, 0.199,-1.019,-0.160
 0.194, 0.040, 0.988, 0.195,-1.016,-0.143
 0.192, 0.049, 0.975, 0.164,-0.970,-0.114
 0.200, 0.047, 0.974, 0.111,-0.833,-0.079
 0.223, 0.060, 0.949, 0.043,-0.656,-0.079
 0.248, 0.057, 0.906,-0.016,-0.479,-0.093
 0.276, 0.050, 0.876,-0.051,-0.352,-0.098
 0.276, 0.050, 0.876,-0.036,-0.297,-0.092
 0.278, 0.063, 0.904, 0.016,-0.222,-0.073
 0.277, 0.065, 0.932, 0.064,-0.129,-0.039
 0.276, 0.064, 0.935, 0.108,-0.054, 0.003
 0.271, 0.057, 0.931, 0.112, 0.038, 0.023
 0.260, 0.042, 0.929, 0.082, 0.133, 0.050
 0.256, 0.045, 0.925, 0.063, 0.256, 0.072
 0.269, 0.065, 0.910, 0.037, 0.390, 0.084
 0.276, 0.058, 0.898,-0.005, 0.555, 0.091
 0.276, 0.051, 0.891,-0.044, 0.692, 0.110
 0.276, 0.051, 0.891,-0.051, 0.659, 0.112
 0.264, 0.040, 0.992,-0.028, 0.584, 0.103
 0.267, 0.048, 1.025,-0.003, 0.495, 0.098
 0.267, 0.048, 1.025, 0.037, 0.398, 0.088
 0.258, 0.041, 1.035, 0.072, 0.350, 0.068
 0.262, 0.038, 0.998, 0.084, 0.380, 0.053
 0.262, 0.038, 0.998, 0.074, 0.436, 0.046
 0.255, 0.031, 0.971, 0.038, 0.535, 0.046
 0.228, 0.027, 0.976, 0.006, 0.599, 0.048
 0.220, 0.043, 0.951, 0.017, 0.580, 0.055
 0.189, 0.054, 0.973, 0.025, 0.570, 0.062
 0.190, 0.053, 0.992, 0.031, 0.519, 0.068
 0.190, 0.053, 0.992, 0.051, 0.417, 0.045
 0.215, 0.041, 1.032, 0.095, 0.348, 0.008
 0.215, 0.041, 1.032, 0.146, 0.330,-0.024
 0.224, 0.038, 1.015, 0.183, 0.338,-0.044
 0.221, 0.035, 1.000, 0.206, 0.366,-0.056
 0.214, 0.039, 0.989, 0.232, 0.398,-0.076
 0.210, 0.042, 0.990, 0.273, 0.391,-0.091
 0.205, 0.054, 0.996, 0.361, 0.333,-0.109
 0.170, 0.079, 0.977, 0.402, 0.310,-0.106
 0.170, 0.079, 0.977, 0.456, 0.315,-0.092
 0.152, 0.095, 0.973, 0.521, 0.351,-0.073
 0.150, 0.102, 0.967, 0.592, 0.373,-0.063
 0.149, 0.106, 0.978, 0.668, 0.347,-0.062
 0.149, 0.106, 0.978, 0.754, 0.345,-0.058
 0.146, 0.124, 0.990, 0.832, 0.362,-0.055
 0.146, 0.123, 0.987, 0.889, 0.383,-0.037
 0.146, 0.123, 0.987, 0.919, 0.397,-0.029
 0.139, 0.126, 1.002, 0.944, 0.402,-0.027
 0.139, 0.126, 1.002, 0.952, 0.426,-0.021
 0.123, 0.140, 1.004, 0.938, 0.426,-0.012
 0.123, 0.140, 1.004, 0.917, 0.416,-0.006
 0.108, 0.167, 0.990, 0.881, 0.423,-0.007
 0.104, 0.178, 0.978, 0.835, 0.432,-0.014
 0.104, 0.178, 0.978, 0.783, 0.434,-0.028
 0.114, 0.178, 0.971, 0.739, 0.448,-0.038
 0.114, 0.178, 0.971, 0.695, 0.470,-0.047
 0.116, 0.188, 0.967, 0.653, 0.489,-0.047
 0.116, 0.188, 0.967, 0.628, 0.496,-0.052
 0.105, 0.198, 0.976, 0.616, 0.485,-0.058
 0.094, 0.216, 0.977, 0.616, 0.489,-0.070
 0.099, 0.217, 0.967, 0.634, 0.534,-0.094
 0.099, 0.217, 0.967, 0.668, 0.598,-0.122
 0.107, 0.219, 0.960, 0.716, 0.653,-0.166
 0.107, 0.219, 0.960, 0.775, 0.705,-0.214
 0.109, 0.225, 0.966, 0.836, 0.744,-0.235
 0.074, 0.254, 0.976, 0.925, 0.757,-0.243
 0.039, 0.262, 0.979, 1.019, 0.706,-0.235
 0.021, 0.273, 0.987, 1.083, 0.655,-0.218
 0.003, 0.292, 0.977, 1.117, 0.620,-0.195
 0.003, 0.292, 0.977, 1.146, 0.609,-0.171
-0.004, 0.309, 0.957, 1.168, 0.613,-0.149
-0.004, 0.309, 0.957, 1.193, 0.625,-0.138
-0.002, 0.317, 0.959, 1.226, 0.657,-0.149
 0.010, 0.319, 0.953, 1.262, 0.720,-0.163
 0.022, 0.320, 0.947, 1.320, 0.782,-0.162
 0.010, 0.356, 0.956, 1.387, 0.770,-0.146
-0.008, 0.372, 0.967, 1.458, 0.712,-0.120
-0.008, 0.372, 0.967, 1.499, 0.599,-0.087
-0.048, 0.412, 0.959, 1.506, 0.496,-0.046
-0.066, 0.433, 0.942, 1.492, 0.462, 0.006
-0.066, 0.433, 0.942, 1.465, 0.481, 0.055
-0.079, 0.449, 0.923, 1.445, 0.495, 0.092
-0.076, 0.459, 0.915, 1.438, 0.508, 0.127
-0.073, 0.473, 0.907, 1.447, 0.509, 0.147
-0.067, 0.485, 0.902, 1.491, 0.519, 0.137
-0.053, 0.488, 0.888, 1.553, 0.501, 0.123
-0.053, 0.488, 0.888, 1.616, 0.473, 0.113
-0.061, 0.507, 0.887, 1.677, 0.460, 0.119
-0.078, 0.544, 0.852, 1.700, 0.454, 0.133
-0.078, 0.544, 0.852, 1.713, 0.455, 0.161
-0.112, 0.582, 0.820, 1.710, 0.451, 0.209
-0.121, 0.601, 0.817, 1.705, 0.420, 0.249
-0.123, 0.611, 0.826, 1.700, 0.364, 0.272
-0.123, 0.611, 0.826, 1.665, 0.301, 0.265
-0.120, 0.612, 0.824, 1.630, 0.252, 0.241
-0.113, 0.618, 0.814, 1.599, 0.238, 0.215
-0.095, 0.641, 0.783, 1.593, 0.234, 0.194
-0.088, 0.648, 0.766, 1.611, 0.218, 0.180
-0.088, 0.648, 0.766, 1.654, 0.222, 0.167
-0.087, 0.661, 0.762, 1.699, 0.252, 0.168
-0.088, 0.673, 0.746, 1.751, 0.276, 0.174
-0.087, 0.686, 0.732, 1.796, 0.299, 0.178
-0.083, 0.699, 0.723, 1.844, 0.314, 0.174
-0.085, 0.710, 0.702, 1.857, 0.290, 0.172
-0.085, 0.726, 0.683, 1.820, 0.213, 0.177
-0.115, 0.756, 0.657, 1.790, 0.187, 0.194
-0.119, 0.757, 0.629, 1.789, 0.193, 0.206
-0.119, 0.757, 0.629, 1.802, 0.214, 0.199
-0.113, 0.757, 0.616, 1.798, 0.206, 0.182
-0.100, 0.760, 0.600, 1.751, 0.171, 0.149
-0.085, 0.766, 0.609, 1.663, 0.162, 0.114
-0.069, 0.809, 0.575, 1.551, 0.133, 0.091
-0.069, 0.809, 0.575, 1.437, 0.114, 0.094
-0.071, 0.839, 0.551, 1.383, 0.126, 0.113
-0.076, 0.853, 0.546, 1.377, 0.086, 0.146
-0.096, 0.862, 0.562, 1.392, 0.026, 0.183
-0.097, 0.871, 0.542, 1.420,-0.018, 0.214
-0.087, 0.874, 0.521, 1.447,-0.043, 0.227
-0.087, 0.874, 0.521, 1.459,-0.039, 0.203
-0.080, 0.857, 0.477, 1.472,-0.029, 0.180
-0.080, 0.857, 0.477, 1.470,-0.017, 0.163
-0.082, 0.865, 0.456, 1.498, 0.022, 0.159
-0.086, 0.897, 0.405, 1.566, 0.104, 0.168
-0.086, 0.897, 0.405, 1.618, 0.180, 0.178
-0.078, 0.893, 0.384, 1.648, 0.204, 0.185
-0.097, 0.916, 0.394, 1.655, 0.154, 0.201
-0.097, 0.916, 0.394, 1.639, 0.091, 0.220
-0.103, 0.940, 0.392, 1.624, 0.067, 0.229
-0.083, 0.941, 0.345, 1.617, 0.072, 0.214
-0.083, 0.941, 0.345, 1.628, 0.096, 0.178
-0.063, 0.925, 0.321, 1.646, 0.124, 0.130
-0.051, 0.916, 0.305, 1.681, 0.157, 0.095
-0.058, 0.938, 0.253, 1.710, 0.176, 0.069
-0.058, 0.938, 0.253, 1.720, 0.191, 0.044
-0.062, 0.949, 0.238, 1.716, 0.200, 0.031
-0.081, 0.965, 0.200, 1.708, 0.209, 0.036
-0.081, 0.965, 0.200, 1.700, 0.227, 0.055
-0.070, 0.974, 0.165, 1.700, 0.247, 0.071
-0.070, 0.974, 0.165, 1.698, 0.263, 0.077
-0.057, 0.973, 0.156, 1.683, 0.271, 0.090
-0.045, 0.974, 0.141, 1.655, 0.262, 0.102
-0.034, 0.978, 0.128, 1.624, 0.242, 0.108
-0.020, 0.985, 0.086, 1.616, 0.237, 0.098
-0.023, 0.976, 0.064, 1.633, 0.233, 0.083
-0.032, 0.961, 0.058, 1.664, 0.231, 0.049
-0.047, 0.947, 0.054, 1.711, 0.226, 0.011
-0.060, 0.943, 0.038, 1.758, 0.224,-0.025
-0.066, 0.945, 0.014, 1.811, 0.231,-0.038
-0.064, 0.948,-0.013, 1.866, 0.232,-0.040
-0.060, 0.952,-0.043, 1.906, 0.232,-0.031
-0.055, 0.957,-0.075, 1.948, 0.251,-0.014
-0.055, 0.957,-0.075, 1.977, 0.285, 0.023
-0.056, 0.969,-0.105, 1.988, 0.298, 0.069
-0.066, 0.983,-0.128, 1.992, 0.334, 0.093
-0.068, 0.984,-0.145, 2.012, 0.396, 0.098
-0.060, 0.968,-0.170, 2.069, 0.459, 0.085
-0.050, 0.952,-0.189, 2.156, 0.569, 0.071
-0.035, 0.937,-0.219, 2.207, 0.581, 0.060
-0.021, 0.883,-0.185, 2.314, 0.652, 0.054
-0.016, 0.883,-0.215, 2.300, 0.671, 0.053
-0.031, 0.910,-0.210, 2.213, 0.569, 0.049
-0.031, 0.910,-0.210, 2.099, 0.432, 0.080
-0.073, 0.959,-0.208, 1.947, 0.294, 0.147
-0.073, 0.959,-0.208, 1.790, 0.180, 0.233
-0.072, 0.982,-0.253, 1.667, 0.154, 0.300
-0.049, 0.978,-0.290, 1.535, 0.248, 0.361
-0.010, 0.940,-0.373, 1.362, 0.407, 0.398
-0.010, 0.940,-0.373, 1.116, 0.598, 0.392
 0.013, 0.912,-0.395, 0.845, 0.772, 0.359
 0.036, 0.911,-0.407, 0.637, 0.969, 0.325
 0.055, 0.922,-0.419, 0.587, 1.051, 0.333
 0.068, 0.913,-0.463, 0.709, 0.970, 0.347
 0.055, 0.895,-0.489, 0.967, 0.857, 0.306
-0.010, 0.840,-0.485, 1.270, 0.824, 0.202
-0.010, 0.840,-0.485, 1.523, 0.816, 0.096
-0.014, 0.839,-0.528, 1.693, 0.810, 0.023
-0.014, 0.839,-0.528, 1.798, 0.765, 0.004
 0.031, 0.899,-0.550, 1.858, 0.731, 0.073
 0.068, 0.971,-0.571, 1.880, 0.676, 0.198
 0.064, 1.008,-0.590, 1.886, 0.603, 0.320
 0.040, 1.006,-0.594, 1.890, 0.508, 0.387
 0.026, 0.974,-0.587, 1.912, 0.372, 0.420
 0.011, 0.931,-0.581, 1.976, 0.183, 0.425
 0.032, 0.846,-0.573, 2.077,-0.004, 0.390
 0.032, 0.846,-0.573, 2.189,-0.120, 0.357
 0.067, 0.776,-0.615, 2.299,-0.132, 0.326
 0.084, 0.774,-0.659, 2.398,-0.047, 0.307
 0.084, 0.774,-0.659, 2.485, 0.035, 0.315
 0.083, 0.762,-0.724, 2.583, 0.146, 0.365
 0.083, 0.762,-0.724, 2.677, 0.255, 0.455
 0.078, 0.776,-0.778, 2.749, 0.308, 0.573
 0.078, 0.776,-0.778, 2.788, 0.325, 0.699
 0.077, 0.744,-0.794, 2.795, 0.357, 0.823
 0.079, 0.710,-0.806, 2.775, 0.393, 0.893
 0.088, 0.661,-0.813, 2.744, 0.426, 0.894
 0.077, 0.604,-0.826, 2.708, 0.465, 0.838
 0.077, 0.604,-0.826, 2.697, 0.508, 0.774
 0.062, 0.571,-0.834, 2.712, 0.517, 0.737
 0.062, 0.571,-0.834, 2.739, 0.496, 0.763
 0.060, 0.552,-0.794, 2.757, 0.443, 0.827
 0.060, 0.552,-0.794, 2.754, 0.387, 0.888
 0.079, 0.526,-0.786, 2.749, 0.355, 0.944
 0.094, 0.438,-0.782, 2.755, 0.341, 0.987
 0.094, 0.438,-0.782, 2.787, 0.330, 1.033
 0.117, 0.377,-0.778, 2.834, 0.340, 1.082
 0.123, 0.347,-0.801, 2.896, 0.329, 1.137
 0.123, 0.347,-0.801, 2.951, 0.263, 1.161
 0.138, 0.314,-0.820, 3.001, 0.197, 1.115
 0.160, 0.261,-0.844, 3.057, 0.163, 1.036
 0.179, 0.194,-0.882, 3.093, 0.116, 0.987
 0.188, 0.154,-0.890, 3.108, 0.080, 0.963
 0.193, 0.133,-0.897, 3.120, 0.078, 0.995
 0.193, 0.133,-0.897, 3.131, 0.059, 1.047
 0.196, 0.126,-0.902, 3.142, 0.016, 1.104
 0.205, 0.101,-0.899, 3.149,-0.070, 1.147
 0.198, 0.006,-0.896, 3.150,-0.129, 1.138
 0.198, 0.006,-0.896, 3.121,-0.168, 1.075
 0.198,-0.041,-0.908, 3.104,-0.187, 0.977
 0.204,-0.081,-0.918, 3.115,-0.208, 0.887
 0.197,-0.121,-0.913, 3.151,-0.225, 0.808
 0.207,-0.174,-0.894, 3.175,-0.198, 0.759
 0.226,-0.196,-0.903, 3.169,-0.173, 0.740
 0.226,-0.196,-0.903, 3.131,-0.084, 0.753
 0.242,-0.221,-0.904, 3.055,-0.068, 0.784
 0.252,-0.245,-0.915, 2.978,-0.050, 0.811
 0.257,-0.288,-0.897, 2.900,-0.030, 0.833
 0.236,-0.353,-0.910, 2.846,-0.008, 0.840
 0.236,-0.353,-0.910, 2.810,-0.006, 0.813
 0.233,-0.379,-0.907, 2.803,-0.004, 0.781
 0.205,-0.436,-0.879, 2.827, 0.020, 0.746
 0.205,-0.436,-0.879, 2.849, 0.014, 0.693
 0.186,-0.465,-0.863, 2.877, 0.023, 0.629
 0.159,-0.529,-0.830, 2.874,-0.018, 0.564
 0.159,-0.529,-0.830, 2.823,-0.079, 0.546
 0.165,-0.556,-0.809, 2.754,-0.071, 0.563
 0.173,-0.589,-0.808, 2.653,-0.074, 0.583
 0.184,-0.609,-0.796, 2.560,-0.096, 0.603
 0.184,-0.609,-0.796, 2.488,-0.114, 0.623
 0.183,-0.646,-0.766, 2.416,-0.124, 0.674
 0.189,-0.663,-0.760, 2.349,-0.123, 0.714
 0.201,-0.683,-0.752, 2.277,-0.122, 0.728
 0.200,-0.711,-0.735, 2.233,-0.098, 0.722
 0.200,-0.711,-0.735, 2.215,-0.030, 0.718
 0.190,-0.742,-0.719, 2.213, 0.024, 0.726
 0.171,-0.756,-0.703, 2.200, 0.059, 0.741
 0.154,-0.759,-0.678, 2.156, 0.020, 0.744
 0.151,-0.769,-0.636, 2.099,-0.006, 0.737
 0.151,-0.769,-0.636, 2.043,-0.027, 0.728
 0.140,-0.777,-0.619, 1.998,-0.028, 0.712
 0.125,-0.791,-0.592, 1.975,-0.017, 0.701
 0.091,-0.822,-0.538, 2.006,-0.019, 0.641
 0.069,-0.855,-0.494, 2.110, 0.001, 0.580
 0.046,-0.862,-0.467, 2.262, 0.053, 0.532
 0.046,-0.862,-0.467, 2.422, 0.075, 0.516
 0.029,-0.837,-0.411, 2.567, 0.053, 0.546
 0.022,-0.824,-0.398, 2.659,-0.015, 0.603
 0.029,-0.824,-0.385, 2.700,-0.103, 0.652
 0.029,-0.824,-0.385, 2.690,-0.130, 0.696
 0.039,-0.833,-0.376, 2.553,-0.229, 0.667
 0.051,-0.855,-0.366, 2.372,-0.212, 0.624
 0.048,-0.894,-0.308, 2.275,-0.151, 0.643
 0.050,-0.904,-0.314, 2.215,-0.194, 0.701
 0.071,-0.927,-0.302, 2.179,-0.239, 0.755
 0.066,-0.986,-0.273, 2.169,-0.209, 0.781
 0.046,-1.006,-0.268, 2.174,-0.185, 0.781
 0.046,-1.006,-0.268, 2.163,-0.207, 0.744
-0.013,-1.037,-0.230, 2.150,-0.225, 0.692
-0.013,-1.037,-0.230, 2.182,-0.246, 0.692
-0.025,-1.040,-0.221, 2.239,-0.308, 0.741
-0.028,-1.047,-0.207, 2.293,-0.361, 0.783
-0.028,-1.053,-0.193, 2.297,-0.423, 0.774
-0.026,-1.062,-0.189, 2.209,-0.484, 0.710
-0.036,-1.078,-0.155, 2.101,-0.462, 0.613
-0.080,-1.134,-0.117, 2.007,-0.479, 0.510
-0.080,-1.134,-0.117, 1.902,-0.530, 0.385
-0.084,-1.146,-0.039, 1.816,-0.511, 0.279
-0.084,-1.146,-0.039, 1.754,-0.440, 0.201
-0.079,-1.132,-0.024, 1.727,-0.352, 0.140
-0.042,-1.095,-0.001, 1.779,-0.267, 0.089
-0.034,-1.051, 0.001, 1.861,-0.205,-0.012
-0.048,-0.998, 0.008, 1.925,-0.164,-0.104
-0.053,-0.948, 0.022, 1.962,-0.147,-0.143
-0.053,-0.948, 0.022, 1.941,-0.142,-0.100
-0.056,-0.863, 0.089, 1.881,-0.163,-0.004
-0.083,-0.835, 0.127, 1.802,-0.209, 0.122
-0.083,-0.835, 0.127, 1.690,-0.260, 0.281
-0.083,-0.838, 0.169, 1.585,-0.334, 0.429
-0.083,-0.838, 0.169, 1.530,-0.390, 0.509
-0.056,-0.930, 0.115, 1.520,-0.361, 0.483
-0.056,-0.930, 0.115, 1.532,-0.254, 0.361
-0.045,-1.114, 0.110, 1.530,-0.173, 0.147
-0.068,-1.152, 0.160, 1.491,-0.124,-0.106
-0.068,-1.152, 0.160, 1.432,-0.068,-0.294
-0.099,-1.164, 0.206, 1.396,-0.011,-0.341
-0.104,-1.144, 0.250, 1.336, 0.002,-0.286
-0.103,-1.086, 0.271, 1.244,-0.069,-0.222
-0.121,-1.037, 0.282, 1.138,-0.152,-0.163
-0.126,-1.007, 0.290, 1.048,-0.136,-0.154
-0.107,-0.990, 0.286, 0.979,-0.046,-0.182
-0.075,-1.001, 0.283, 0.827,-0.064,-0.161
-0.020,-0.963, 0.408, 0.769,-0.059,-0.113
-0.037,-0.947, 0.399, 0.901,-0.022,-0.066
-0.051,-0.914, 0.434, 1.025,-0.097,-0.035
-0.051,-0.914, 0.434, 1.170,-0.092,-0.073
-0.056,-0.934, 0.478, 1.349,-0.017,-0.042
-0.080,-0.964, 0.460, 1.503, 0.050, 0.020
-0.039,-0.953, 0.452, 1.560, 0.057, 0.027
-0.039,-0.953, 0.452, 1.628, 0.130,-0.025
-0.035,-0.943, 0.441, 1.774, 0.262,-0.106
-0.052,-0.900, 0.401, 1.893, 0.450,-0.139
-0.073,-0.821, 0.383, 2.026, 0.581,-0.075
-0.077,-0.857, 0.470, 2.226, 0.687,-0.066
-0.077,-0.856, 0.561, 2.479, 0.797,-0.056
-0.077,-0.856, 0.561, 2.744, 0.931, 0.052
-0.111,-0.793, 0.607, 2.757, 0.888, 0.109
-0.151,-0.768, 0.594, 2.409, 0.696, 0.172
-0.189,-0.889, 0.498, 2.064, 0.380, 0.192
-0.187,-0.911, 0.615, 1.791,-0.030, 0.147
-0.161,-0.873, 0.689, 1.653,-0.321, 0.015
-0.161,-0.873, 0.689, 1.633,-0.416,-0.099
-0.138,-0.843, 0.710, 1.690,-0.461,-0.159
-0.083,-0.764, 0.667, 1.701,-0.351,-0.268
-0.083,-0.764, 0.667, 1.681,-0.309,-0.309
-0.106,-0.765, 0.739, 1.710,-0.373,-0.344
-0.106,-0.765, 0.739, 1.792,-0.209,-0.312
-0.142,-0.746, 0.746, 1.991, 0.009,-0.204
-0.183,-0.697, 0.757, 2.240, 0.212,-0.032
-0.230,-0.634, 0.855, 2.420, 0.328, 0.145
-0.230,-0.634, 0.855, 2.526, 0.417, 0.340
-0.220,-0.632, 0.835, 2.499, 0.344, 0.504
-0.220,-0.632, 0.835, 2.369, 0.063, 0.629
-0.156,-0.645, 0.822, 2.158,-0.164, 0.640
 0.033,-0.628, 0.688, 1.892,-0.294, 0.547
 0.033,-0.628, 0.688, 1.626,-0.429, 0.371
 0.089,-0.581, 0.688, 1.378,-0.494, 0.144
 0.057,-0.555, 0.732, 1.200,-0.597,-0.035
 0.057,-0.555, 0.732, 1.158,-0.593,-0.134
 0.017,-0.528, 0.798, 1.211,-0.502,-0.182
-0.001,-0.487, 0.808, 1.309,-0.559,-0.255
-0.074,-0.474, 0.948, 1.470,-0.533,-0.243
-0.074,-0.474, 0.948, 1.628,-0.397,-0.203
-0.079,-0.427, 0.896, 1.704,-0.264,-0.161
-0.083,-0.404, 0.868, 1.716,-0.138,-0.079
-0.096,-0.392, 0.865, 1.635, 0.048, 0.025
-0.082,-0.369, 0.766, 1.463, 0.118, 0.073
-0.082,-0.369, 0.766, 1.250, 0.171, 0.108
-0.080,-0.363, 0.772, 1.018, 0.176, 0.101
-0.089,-0.350, 0.804, 0.782, 0.122, 0.075
-0.089,-0.350, 0.804, 0.623, 0.117, 0.092
-0.103,-0.353, 0.843, 0.534, 0.113, 0.124
-0.091,-0.341, 0.870, 0.491, 0.173, 0.144
-0.081,-0.319, 0.906, 0.490, 0.264, 0.188
-0.081,-0.319, 0.906, 0.509, 0.347, 0.205
-0.060,-0.319, 0.924, 0.491, 0.470, 0.189
-0.050,-0.341, 0.907, 0.455, 0.493, 0.169
-0.072,-0.347, 0.960, 0.482, 0.524, 0.168
-0.072,-0.347, 0.960, 0.533, 0.557, 0.147
-0.069,-0.314, 0.960, 0.581, 0.487, 0.105
-0.091,-0.294, 1.013, 0.623, 0.403, 0.054
-0.091,-0.294, 1.013, 0.647, 0.343, 0.031
-0.105,-0.294, 1.003, 0.658, 0.310,-0.001
-0.112,-0.291, 0.991, 0.662, 0.313,-0.007
-0.111,-0.311, 0.983, 0.693, 0.272,-0.046
-0.114,-0.341, 1.043, 0.763, 0.203,-0.081
-0.114,-0.341, 1.043, 0.890, 0.214,-0.116
-0.133,-0.319, 1.056, 0.953, 0.249,-0.119
-0.152,-0.297, 1.028, 0.972, 0.219,-0.102
-0.172,-0.272, 1.012, 0.968, 0.192,-0.079
